No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
49,Performance,Caching,Web,Repeat visits should be fast,Set appropriate cache headers,No caching strategy,Cache-Control headers,Every request hits server,Medium
50,Performance,Font Loading,Web,Web fonts can block rendering,Use font-display swap or optional,Invisible text during font load,font-display: swap,FOIT (Flash of Invisible Text),Medium
51,Performance,Third Party Scripts,Web,External scripts can block rendering,Load non-critical scripts async/defer,Synchronous third-party scripts,async or defer attribute,<script src='...'> in head,Medium
52,Performance,Bundle Size,Web,Large JavaScript slows interaction,Monitor and minimize bundle size,Ignore bundle size growth,Bundle analyzer,No size monitoring,Medium
53,Performance,Render Blocking,Web,CSS/JS can block first paint,Inline critical CSS defer non-critical,Large blocking CSS files,Critical CSS inline,All CSS in head,Medium
54,Forms,Input Labels,All,Every input needs a visible label,Always show label above or beside input,Placeholder as only label,<label>Email</label><input>,placeholder='Email' only,High
55,Forms,Error Placement,All,Errors should appear near the problem,Show error below related input,Single error message at top of form,Error under each field,All errors at form top,Medium
56,Forms,Inline Validation,All,Validate as user types or on blur,Validate on blur for most fields,Validate only on submit,onBlur validation,Submit-only validation,Medium
57,Forms,Input Types,All,Use appropriate input types,Use email tel number url etc,Text input for everything,type='email',type='text' for email,Medium
58,Forms,Autofill Support,Web,Help browsers autofill correctly,Use autocomplete attribute properly,Block or ignore autofill,autocomplete='email',autocomplete='off' everywhere,Medium
59,Forms,Required Indicators,All,Mark required fields clearly,Use asterisk or (required) text,No indication of required fields,* required indicator,Guess which are required,Medium
60,Forms,Password Visibility,All,Let users see password while typing,Toggle to show/hide password,No visibility toggle,Show/hide password button,Password always hidden,Medium
61,Forms,Submit Feedback,All,Confirm form submission status,Show loading then success/error state,No feedback after submit,Loading -> Success message,Button click with no response,High
62,Forms,Input Affordance,All,Inputs should look interactive,Use distinct input styling,Inputs that look like plain text,Border/background on inputs,Borderless inputs,Medium
63,Forms,Mobile Keyboards,Mobile,Show appropriate keyboard for input type,Use inputmode attribute,Default keyboard for all inputs,inputmode='numeric',Text keyboard for numbers,Medium
64,Responsive,Mobile First,Web,Design for mobile then enhance for larger,Start with mobile styles then add breakpoints,Desktop-first causing mobile issues,Default mobile + md: lg: xl:,Desktop default + max-width queries,Medium
65,Responsive,Breakpoint Testing,Web,Test at all common screen sizes,Test at 320 375 414 768 1024 1440,Only test on your device,Multiple device testing,Single device development,Medium
66,Responsive,Touch Friendly,Web,Mobile layouts need touch-sized targets,Increase touch targets on mobile,Same tiny buttons on mobile,Larger buttons on mobile,Desktop-sized targets on mobile,High
67,Responsive,Readable Font Size,All,Text must be readable on all devices,Minimum 16px body text on mobile,Tiny text on mobile,text-base or larger,text-xs for body text,High
68,Responsive,Viewport Meta,Web,Set viewport for mobile devices,Use width=device-width initial-scale=1,Missing or incorrect viewport,<meta name='viewport'...>,No viewport meta tag,High
69,Responsive,Horizontal Scroll,Web,Avoid horizontal scrolling,Ensure content fits viewport width,Content wider than viewport,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile,High
70,Responsive,Image Scaling,Web,Images should scale with container,Use max-width: 100% on images,Fixed width images overflow,max-w-full h-auto,width='800' fixed,Medium
71,Responsive,Table Handling,Web,Tables can overflow on mobile,Use horizontal scroll or card layout,Wide tables breaking layout,overflow-x-auto wrapper,Table overflows viewport,Medium
72,Typography,Line Height,All,Adequate line height improves readability,Use 1.5-1.75 for body text,Cramped or excessive line height,leading-relaxed (1.625),leading-none (1),Medium
73,Typography,Line Length,Web,Long lines are hard to read,Limit to 65-75 characters per line,Full-width text on large screens,max-w-prose,Full viewport width text,Medium
74,Typography,Font Size Scale,All,Consistent type hierarchy aids scanning,Use consistent modular scale,Random font sizes,Type scale (12 14 16 18 24 32),Arbitrary sizes,Medium
75,Typography,Font Loading,Web,Fonts should load without layout shift,Reserve space with fallback font,Layout shift when fonts load,font-display: swap + similar fallback,No fallback font,Medium
76,Typography,Contrast Readability,All,Body text needs good contrast,Use darker text on light backgrounds,Gray text on gray background,text-gray-900 on white,text-gray-400 on gray-100,High
77,Typography,Heading Clarity,All,Headings should stand out from body,Clear size/weight difference,Headings similar to body text,Bold + larger size,Same size as body,Medium
78,Feedback,Loading Indicators,All,Show system status during waits,Show spinner/skeleton for operations > 300ms,No feedback during loading,Skeleton or spinner,Frozen UI,High
79,Feedback,Empty States,All,Guide users when no content exists,Show helpful message and action,Blank empty screens,No items yet. Create one!,Empty white space,Medium
80,Feedback,Error Recovery,All,Help users recover from errors,Provide clear next steps,Error without recovery path,Try again button + help link,Error message only,Medium
81,Feedback,Progress Indicators,All,Show progress for multi-step processes,Step indicators or progress bar,No indication of progress,Step 2 of 4 indicator,No step information,Medium
82,Feedback,Toast Notifications,All,Transient messages for non-critical info,Auto-dismiss after 3-5 seconds,Toasts that never disappear,Auto-dismiss toast,Persistent toast,Medium
83,Feedback,Confirmation Messages,All,Confirm successful actions,Brief success message,Silent success,Saved successfully toast,No confirmation,Medium
84,Content,Truncation,All,Handle long content gracefully,Truncate with ellipsis and expand option,Overflow or broken layout,line-clamp-2 with expand,Overflow or cut off,Medium
85,Content,Date Formatting,All,Use locale-appropriate date formats,Use relative or locale-aware dates,Ambiguous date formats,2 hours ago or locale format,01/02/03,Low
86,Content,Number Formatting,All,Format large numbers for readability,Use thousand separators or abbreviations,Long unformatted numbers,"1.2K or 1,234",1234567,Low
87,Content,Placeholder Content,All,Show realistic placeholders during dev,Use realistic sample data,Lorem ipsum everywhere,Real sample content,Lorem ipsum,Low
88,Onboarding,User Freedom,All,Users should be able to skip tutorials,Provide Skip and Back buttons,Force linear unskippable tour,Skip Tutorial button,Locked overlay until finished,Medium
89,Search,Autocomplete,Web,Help users find results faster,Show predictions as user types,Require full type and enter,Debounced fetch + dropdown,No suggestions,Medium
90,Search,No Results,Web,Dead ends frustrate users,Show 'No results' with suggestions,Blank screen or '0 results',Try searching for X instead,No results found.,Medium
91,Data Entry,Bulk Actions,Web,Editing one by one is tedious,Allow multi-select and bulk edit,Single row actions only,Checkbox column + Action bar,Repeated actions per row,Low
92,AI Interaction,Disclaimer,All,Users need to know they talk to AI,Clearly label AI generated content,Present AI as human,AI Assistant label,Fake human name without label,High
93,AI Interaction,Streaming,All,Waiting for full text is slow,Stream text response token by token,Show loading spinner for 10s+,Typewriter effect,Spinner until 100% complete,Medium
94,Spatial UI,Gaze Hover,VisionOS,Elements should respond to eye tracking before pinch,Scale/highlight element on look,Static element until pinch,hoverEffect(),onTap only,High
95,Spatial UI,Depth Layering,VisionOS,UI needs Z-depth to separate content from environment,Use glass material and z-offset,Flat opaque panels blocking view,.glassBackgroundEffect(),bg-white,Medium
96,Sustainability,Auto-Play Video,Web,Video consumes massive data and energy,Click-to-play or pause when off-screen,Auto-play high-res video loops,playsInline muted preload='none',autoplay loop,Medium
97,Sustainability,Asset Weight,Web,Heavy 3D/Image assets increase carbon footprint,Compress and lazy load 3D models,Load 50MB textures,Draco compression,Raw .obj files,Medium
98,AI Interaction,Feedback Loop,All,AI needs user feedback to improve,Thumps up/down or 'Regenerate',Static output only,Feedback component,Read-only text,Low
99,Accessibility,Motion Sensitivity,All,Parallax/Scroll-jacking causes nausea,Respect prefers-reduced-motion,Force scroll effects,@media (prefers-reduced-motion),ScrollTrigger.create(),High
100,Multi-step Wizards/Forms,progress indicator,All,Users need clear visual feedback on their progress through multi-step processes to reduce anxiety and improve completion rates.,Display a progress bar or step indicator showing current step and total steps with completion percentage.,Hide progress or use vague indicators like "Step 3 of many".<progress value="40" max="100"></progress> <ol class="steps"><li class="active">Step 1</li><li>Step 2</li><li>Step 3</li></ol>,<div>Processing your request...</div>,High
101,Multi-step Wizards/Forms,step validation,All,Validate form fields on each step before allowing progression to prevent data loss and ensure data quality.,Implement client-side validation with inline error messages and server-side validation as backup.,Allow progression with invalid data or validate only at final submission.<input required pattern="[A-Za-z]{3,}" onblur="validateField(this)"><span class="error" style="display:none">Min 3 letters</span>,<input type="text">,High
102,Multi-step Wizards/Forms,data persistence,All,Automatically save user progress to allow resuming interrupted flows and reduce abandonment.,Use localStorage or sessionStorage to persist form data across sessions and browsers.,Require users to start over if they leave and return.<script>localStorage.setItem('wizardData', JSON.stringify(formData));</script>,<form method="post">,Medium
103,Multi-step Wizards/Forms,navigation between steps,All,Allow free navigation between steps (forward/back) while preserving data to support iterative refinement.,Enable back/forward buttons that maintain data state without reset.,Disable back navigation or reset data when going back.<button onclick="wizard.prevStep()">← Back</button> <button onclick="wizard.nextStep()">Next →</button>,<button disabled>Back</button>,Medium
104,Multi-step Wizards/Forms,completion states,All,Clearly indicate task completion with success states, summaries, and next steps to provide closure.,Show confetti/animations, data summary, and CTA after completion.,Abruptly redirect or show blank success page.<div class="success-state"><h2>Complete!</h2><p>Summary: 3 items added</p><a href="/dashboard">View Dashboard</a></div>,<div>Done</div>,High
105,Onboarding Flows,progressive disclosure,All,Reveal information and features gradually to avoid overwhelming new users.,Show core features first, unlock advanced options after basic setup.,Display all features/options immediately on first visit.<div class="core-features" style="display:block">Basic setup</div> <div class="advanced" style="display:none">Pro features</div>,<div>All features visible</div>,Medium
106,Onboarding Flows,tooltip tours,All,Guide users through key features with non-intrusive tooltips or spotlight tours.,Use dismissible, skippable tours with progress indicators.,Force mandatory tours that block usage until completion.<div class="tooltip" data-tour="1">Welcome! This is your dashboard <button>Got it</button></div>,<div class="modal" style="display:block">Complete tour first</div>,Medium
107,Onboarding Flows,empty state guidance,All,Provide helpful guidance in empty states to encourage first actions.,Include illustrations, clear CTAs, and value propositions in empty states.,Show blank pages or generic "No data" messages.<div class="empty-state"><img src="empty.svg"><h3>Get started</h3><p>Upload your first file</p><button>Upload</button></div>,<div>No data</div>,High
108,Onboarding Flows,feature discovery,All,Highlight key features contextually when users are likely to need them.,Use micro-animations or badges on first use of features.,Hide features completely or use complex menus.<span class="new-badge">New!</span> <button onclick="analytics.track('filter_used')">Filter data</button>,<button>Filter</button>,Low
109,Onboarding Flows,permission requests,All,Explain clearly why permissions are needed and allow granular control.,Use just-in-time permission requests with benefit statements.,Request all permissions upfront or use vague explanations.<div class="permission-dialog">Allow camera access to scan documents? <p>Faster onboarding</p> <button>Allow</button></div>,<div>Grant all permissions</div>,High
110,Error Handling,form validation,All,Provide inline, specific error messages immediately upon invalid input.,Show field-specific errors with examples of correct format.,Use generic error messages at form top only.<input aria-invalid="true"><span class="error">Email must be valid (e.g. user@example.com)</span>,<div class="error">Invalid input</div>,High
111,Error Handling,API error states,All,Handle API failures gracefully with user-friendly messages and recovery options.,Display human-readable error messages from API status codes.,Show raw error codes or technical details.<div class="api-error">Server busy. <button onclick="retry()">Retry</button> <a href="/support">Contact support</a></div>,<div>500 Internal Server Error</div>,High
112,Error Handling,offline mode,All,Enable core functionality when offline and sync when reconnected.,Cache recent actions and show offline status indicator.,Disable app completely when offline.<div class="offline-banner">Offline - changes will sync later</div> <button disabled>Save (queued)</button>,<div>Go online first</div>,Medium
113,Error Handling,timeout handling,All,Warn users before session timeout and allow extension.,Show countdown timer and "Stay logged in" option.,Silently log out after timeout.<div class="timeout-warning" id="timeoutCountdown">5 min until logout <button>Stay logged in</button></div>,<script>setTimeout(logout, 1800000);</script>,Medium
114,Error Handling,retry mechanisms,All,Provide easy retry options for failed operations with exponential backoff.,Show "Retry" buttons and optimistic updates where possible.<button onclick="retryUpload()" class="retry-btn">Retry upload (2/3)</button>,<button>Try again later</button>,Medium
115,Internationalization,RTL support,All,Support right-to-left languages with proper text direction and layout flipping.,Use dir="rtl" attribute and mirror layouts for RTL languages.,Hardcode left-to-right layouts for all languages.<html dir="rtl" lang="ar"><div class="card">محتوى RTL</div></html>,<div style="text-align:right">English text</div>,High
116,Internationalization,date/time formatting,All,Display dates/times in user's locale format automatically.,Use Intl.DateTimeFormat API for locale-aware formatting.,Hardcode MM/DD/YYYY format globally.<script>new Intl.DateTimeFormat('ar-SA').format(new Date())</script>,<span>02/14/2026</span>,High
117,Internationalization,text expansion,All,Design layouts to accommodate text expansion in different languages (up to 30-50% longer).,Use flexible layouts with min-width constraints.,Fixed-width containers that overflow in expanded languages.<div style="min-width:200px; flex:1">Translated text</div>,<div style="width:200px">Lorem ipsum</div>,Medium
118,Internationalization,currency display,All,Show locale-appropriate currency symbols and formatting.,Use Intl.NumberFormat with currency option.,Use $ symbol everywhere.<script>new Intl.NumberFormat('de-DE', {style:'currency',currency:'EUR'}).format(1234.56)</script>,<span>$1,234.56</span>,Medium
119,Internationalization,locale-aware layouts,All,Adapt layouts for reading direction, calendars, and measurement units.,Detect locale and apply appropriate layout variants.,Single rigid layout for all locales.<div class="layout--ltr" lang="en">Left-aligned</div> <div class="layout--rtl" lang="ar">Right-aligned</div>,<div class="layout--global">Fixed layout</div>,High
120,Data Tables,column sorting,All,Enable intuitive column sorting with clear visual indicators.,Use clickable headers with sort direction arrows.,Make sorting undiscoverable or inconsistent.<th onclick="sort('name')" aria-sort="ascending">Name ↑</th>,<th>Name</th>,Medium
121,Data Tables,filtered states,All,Show filter status, count of filtered results, and clear filters option.,Persist filter state and show "X of Y results".,Hide filter criteria or reset filters unexpectedly.<div class="filter-status">Status: Active (23 of 150) <button>Clear</button></div>,<div>23 results</div>,Medium
122,Data Tables,bulk actions,All,Support bulk selection with select-all and action confirmations.,Limit bulk actions to reasonable batch sizes with progress.,Allow unlimited bulk actions without confirmation.<input type="checkbox" id="select-all"> <button disabled>Select 0 items</button> <div>Confirm delete 47 items?</div>,<button onclick="deleteAll()">Delete All</button>,High
123,Data Tables,pagination vs infinite scroll,All,Choose pagination for precision tasks, infinite scroll for browsing.,Use pagination for data tables with export/search.,Infinite scroll for tables requiring exact counts/navigation.<div class="pagination">Page 3 of 15 <button>1</button><button>2</button>...</div>,<div id="infinite-scroll"></div>,Medium
124,Data Tables,export options,All,Provide multiple export formats with clear data previews.,Include CSV, Excel, PDF with column selection.,Export all data without preview or format choice.<button onclick="exportCSV(selectedColumns)">Export CSV (50 rows, 5 cols)</button>,<button>Download</button>,Medium
125,Search UX,autocomplete,All,Provide real-time search suggestions as users type.,Debounce input (300ms) and show "Searching..." state.,No suggestions or slow/non-debounced search.<input oninput="debouncedSearch(this.value)"><datalist id="suggestions"><option>Recent search</option></datalist>,<input>,Medium
126,Search UX,recent searches,All,Show personalized recent searches to speed up repeat queries.,Limit to 5-10 items, allow clear all, persist across sessions.,No history or show irrelevant popular searches.<div class="recent-searches"><h4>Recent</h4><a href="/search?q=report">report</a></div>,<div>Popular searches</div>,Low
127,Search UX,no results state,All,Help users when no results found with search tips and alternatives.,Show spelling suggestions, filters to broaden, related searches.<div class="no-results"><h3>No results for "zxv123"</h3><p>Did you mean "report"? <a href="/search?q=report">Try this</a> <button>Edit search</button></div>,<div>No results found</div>,High
128,Search UX,faceted filtering,All,Allow multi-select filters that update results count instantly.,Persist filter combinations and show applied filters.,Single-select only or slow filter updates.<div class="facets"><label><input type="checkbox" value="active" checked> Active (23)</label></div>,<select><option>Active</option></select>,Medium
130,Optimistic UI,Instant Feedback,Web,Users perceive latency as poor quality,Update UI immediately assuming success,Show spinner for every action,optimisticData: newItems,await serverResponse(),High
131,Dashboard,Empty States,All,New users drop off if dashboard is blank,Show "Create New" CTA and educational illustration,Blank page with "No Data",<EmptyState title="Create link" />,<div>Nothing here</div>,High
132,Motion,Playful Micro-interactions,Web,Delightful details increase engagement,Use subtle "pop" or "twinkle" on success states,Static boring interactions,scale-[1.05] active:scale-95,No interaction feedback,Low
133,Navigation,Sidebar Grouping,All,Long lists overwhelm users,Group related links under collapsible headers,Flat list of 20 links,<SidebarGroup title="Settings">,<nav>Link Link Link</nav>,Medium
134,Copywriting,Brevity,All,Verbose labels increase cognitive load,Use single words (Voting) vs Sentences (Last 10 Votes),Multi-word labels,"<h5>Voting</h5>","<h5>Last 10 Votes by User</h5>",High
135,Layout,8-Point Grid,All,Inconsistent spacing looks unprofessional,Multiples of 8px (8, 16, 24, 32) for padding/margin,Random numbers (11px, 25px),p-4 gap-4 (Tailwind uses 4px base),margin: 13px,Critical
136,Input,Contextual Alerts,Finance,Forms need immediate context not just labels,Show "Fraud Alert" icon/banner inside context,Generic notification bell,<Alert variant="fraud">Transaction suspended</Alert>,<div class="toast">Info</div>,High
137,Data Viz,Pie Chart Utility,Finance,Lists are bad for "part-to-whole" comparisons,Use Pie/Donut for Credit Limit vs Used,Table of percentages,<PieChart data={limit} />,<ul class="percentages">...</ul>,Medium
138,Navigation,Visual Mega Menu,Web,Text-only dropdowns are hard to scan,Add icons or thumbnails to descriptive menu items,List of 20 links,<Menu item={{icon: 'Users', label: 'Teams'}} />,<a href>Teams</a>,High
139,Layout,Clickable Multi-section,SaaS,Long scroll pages lose context,Use Tabs/Switchers for feature breakdowns,Values scattered across 5 viewports,<Tabs triggers={['Plan', 'Track']} content={...} />,<div>SECTION 1... SECTION 2...</div>,Medium
140,Interaction,Feedback States,All,Lack of response feels broken,Gray out button + Loading spinner on click,Static button while loading,<Button disabled={isLoading} icon={spinner} />,onclick="submit()",Critical
141,Iconography,Visual Consistency,All,Mismatched icons look amateur,Same stroke width, fill style, and corner radius,Mixed filled/outlined icons,<Icon set="phosphor" weight="regular" />,<img src="random-icon.png">,High
142,Visuals,Gradient Restraint,All,Garish gradients look cheap,Use variations of same hue (Green-400 to Green-600),Blue-to-Red clash gradient,bg-gradient-to-r from-green-500 to-green-600,bg-gradient-to-r from-blue-500 to-red-500,Medium
