15,Component architecture,"Use descriptive file naming","Use feature.type.ts pattern with dashes","Use inconsistent naming","user-list.component.ts","UserList.ts or userlist.component.ts","Medium","https://angular.dev/style-guide#file-naming"
16,Component architecture,"Inline templates acceptable","Inline templates OK for small components (<3 lines)","Always force separate template files unnecessarily","template: `<p>{{title()}}</p>`","Separate .html for single line template","Low","https://angular.dev/style-guide"
17,Component architecture,"Use const for immutable values","Declare non-reassignable values with const","Use let for values that never change","const MAX_USERS = 100;","let MAX_USERS = 100;","Medium","https://angular.dev/style-guide"
18,Component architecture,"Proper folder structure","Organize by feature modules with shared/ folder","Flat component structure","src/app/features/user/user-list.component.ts","src/app/user-list.component.ts","Medium","https://angular.dev/style-guide#application-structure"
19,Component architecture,"Use index.ts for barrel exports","Consolidate exports in index.ts","Long import lists from multiple files","export * from './components'; // components/index.ts","import {Comp1} from './comp1'; import {Comp2} from './comp2';","Low","https://angular.dev/style-guide"
20,Component architecture,"Smart vs Presentational","Separate container (smart) from presentation (dumb) components","Mix data fetching and display logic","@Component({/* fetches data */}) // container","@Component({/* only displays props */}) // presentational","Medium","https://angular.dev/style-guide"
21,Routing and navigation,"Use standalone lazy routes","Define routes as standalone components with loadChildren","Use module-based lazy loading","{path: 'user', loadComponent: () => import('./user.component')}","{path: 'user', loadChildren: () => import('./user.module')}",High,"https://angular.dev/guide/routing/lazy-loading"
22,Routing and navigation,"Functional guards with signals","Use functional guards that return signals","Class-based guards with observables","canActivate: [() => inject(Router).navigate(['/login'])]","@Injectable() class AuthGuard {}",Medium,"https://angular.dev/guide/routing guards"
23,Routing and navigation,"Use router signals","Access route data with router signals","Use ActivatedRoute observables","const route = toSignal(router.getCurrentNavigation())","route.snapshot.params","High","https://angular.dev/guide/router#router-signals"
24,Routing and navigation,"Preloading strategies","Implement custom preloading for performance","Load everything eagerly","preload: (route, fn) => fn().then(c => c())","No preloading strategy","Medium","https://angular.dev/guide/routing/preloading"
25,Routing and navigation,"Type-safe route params","Use typed generate paths","String-based router navigation","router.navigate(['/user', {id: userId}])","router.navigate(['user', userId])",Medium,"https://angular.dev/guide/router"
26,Forms and validation,"Use signal-based forms","New signalForms API for reactive forms","Traditional FormBuilder with observables","signalForm({name: signalFormControl('')})","form = this.fb.group({name: ['', Validators.required]})",High,"https://angular.dev/guide/forms/signal-forms"
27,Forms and validation,"Model-driven with signals","Bind forms to signal models","Two-way binding with ngModel","form.valueChanges = toSignal(this.form.valueChanges)","[(ngModel)]='name'",High,"https://angular.dev/guide/forms/signal-forms"
28,Forms and validation,"Custom validators as functions","Pure functional validators","Class-based validators","validators: [control => control.value ? null : {required: true}]","@Injectable() validateEmail()",Medium,"https://angular.dev/guide/forms/validation"
29,Forms and validation,"Reset forms with signals","Use signal form reset methods","Manual form patching","this.form.reset({name: 'default'})","this.form.patchValue({name: ''})",Medium,"https://angular.dev/guide/forms"
30,Forms and validation,"Async validators with toSignal","Convert async validators to signals","Mix observables with signal forms","readonly errors = toSignal(this.validateAsync())","asyncValidators: [emailValidator]",Medium,"https://angular.dev/guide/forms"
31,Performance optimization,"Enable zoneless change detection","Use experimental zoneless for signal apps","Zone.js full patch","provideExperimentalZonelessChangeDetection()","zone.js default","High","https://angular.dev/guide/change-detection#zoneless"
32,Performance optimization,"Use @for with trackBy","Always provide trackBy function","@for without trackBy","@for (item of items(); track item.id)","@for (item of items())",High,"https://angular.dev/guide/templates/for#track"
33,Performance optimization,"OnPush with signals","Signals work optimally with OnPush","Default change detection","changeDetection: ChangeDetectionStrategy.OnPush","Default change detection",Medium,"https://angular.dev/guide/change-detection"
34,Performance optimization,"Lazy load components","Use dynamic component loading","Eager load all components","loadComponent: () => import('./heavy.component')","Direct import everywhere",High,"https://angular.dev/guide/components/dynamic"
35,Performance optimization,"Virtual scrolling","Use CDK virtual scroll for large lists","Render all list items","<cdk-virtual-scroll-viewport itemSize='50'>","<div *ngFor='let item of 10000items'>",High,"https://material.angular.io/cdk/scrolling/overview"
36,Styling and theming,"Use CSS custom properties","Define theme variables as CSS custom properties","Hard-coded color values",":root { --primary-color: #3f51b5; }","color: #3f51b5 !important;",Medium,"https://angular.dev/guide/components/theming"
37,Styling and theming,"Encapsulated styles","Use ViewEncapsulation.Emulated (default)","Global styles leaking","ViewEncapsulation.Emulated","ViewEncapsulation.None everywhere",Medium,"https://angular.dev/api/core/ViewEncapsulation"
38,Styling and theming,"Standalone component styles","Define styles in standalone components","Shared global CSS files","styles: [`.user { color: var(--primary); }`]","global.css with .user selectors",Low,"https://angular.dev/guide/components/standalone"
39,Styling and theming,"Container queries","Use modern container queries","Media queries only","@container (min-width: 400px) {}", "@media (min-width: 400px) {}",Medium,"https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_container_queries"
40,Styling and theming,"Modern CSS features","Use :has(), logical properties","Vendor prefixes everywhere","button:has(+ .error) { color: red; }","* { -webkit-box-sizing: border-box; }",Low,"https://angular.dev/style-guide"
41,Accessibility,"Semantic HTML elements","Use proper semantic elements","Div soup everywhere","<button>{{label()}}</button>","<div class='button'>{{label}}</div>",High,"https://angular.dev/guide/user-input#accessibility"
42,Accessibility,"ARIA attributes with signals","Bind ARIA to reactive signals","Static ARIA values","[attr.aria-label] = user().name + ' profile'","aria-label='User profile'",Medium,"https://angular.dev/guide/user-input"
43,Accessibility,"Keyboard navigation","Support tab, arrow keys, Enter","Mouse-only interactions","@HostListener('keydown.arrowDown')","Only @HostListener('click')",High,"https://angular.dev/guide/user-input"
44,Accessibility,"Focus management","Use CDK a11y for focus traps","Manual focus management","import {FocusTrapFactory} from '@angular/cdk/a11y';","element.focus() everywhere",Medium,"https://material.angular.io/cdk/a11y/overview"
45,Accessibility,"Color contrast","Ensure 4.5:1 contrast ratios","Low contrast text","color: var(--text, #666); // ensure contrast","color: #999;",Medium,"https://angular.dev/guide/user-input#accessibility"
46,Testing,"Test signals directly","Test signal values without DOM","Test through component DOM","expect(comp.count()).toBe(5)","fixture.detectChanges(); expect(element.textContent).toContain('5')",High,"https://angular.dev/guide/testing/signals"
47,Testing,"Standalone component testing","Test standalone components in isolation","Mock entire modules","TestBed.configureTestingModule({imports: [MyStandaloneComp]})","TestBed.configureTestingModule({imports: [MyModule]})",High,"https://angular.dev/guide/testing/standalone"
48,Testing,"Signal store testing","Test stores independently","Test through components only","expect(store.count()).toBe(0)","Test component behavior only",Medium,"https://angular.dev/guide/testing"
49,Testing,"Use fakeAsync for signals","Test async signal operations with fakeAsync","Real timers in tests","fakeAsync(() => { tick(); expect(result).toBeTruthy() })","async/await with real promises",Medium,"https://angular.dev/guide/testing/utilities"
50,Testing,"Control flow testing","Test @if/@for blocks directly","Structural directive testing hacks","expect(comp.items().length).toBe(3) // tests @for","querySelectorAll('.item').length",Medium,"https://angular.dev/guide/testing/components"
